EkeV          Fluxpos
  4.5973E+04  1.9663E-04
  4.6505E+04  2.0053E-04
  4.7044E+04  2.0449E-04
  4.7588E+04  2.0854E-04
  4.8139E+04  2.1265E-04
  4.8697E+04  2.1684E-04
  4.9261E+04  2.2110E-04
  4.9831E+04  2.2544E-04
  5.0408E+04  2.2985E-04
  5.0992E+04  2.3435E-04
  5.1582E+04  2.3892E-04
  5.2180E+04  2.4358E-04
  5.2784E+04  2.4831E-04
  5.3395E+04  2.5313E-04
  5.4013E+04  2.5804E-04
  5.4639E+04  2.6303E-04
  5.5271E+04  2.6810E-04
  5.5911E+04  2.7327E-04
  5.6559E+04  2.7852E-04
  5.7214E+04  2.8386E-04
  5.7876E+04  2.8929E-04
  5.8546E+04  2.9482E-04
  5.9224E+04  3.0044E-04
  5.9910E+04  3.0615E-04
  6.0604E+04  3.1196E-04
  6.1306E+04  3.1786E-04
  6.2015E+04  3.2387E-04
  6.2734E+04  3.2997E-04
  6.3460E+04  3.3618E-04
  6.4195E+04  3.4248E-04
  6.4938E+04  3.4889E-04
  6.5690E+04  3.5541E-04
  6.6451E+04  3.6202E-04
  6.7220E+04  3.6875E-04
  6.7999E+04  3.7558E-04
  6.8786E+04  3.8252E-04
  6.9582E+04  3.8958E-04
  7.0388E+04  3.9674E-04
  7.1203E+04  4.0402E-04
  7.2028E+04  4.1141E-04
  7.2862E+04  4.1891E-04
  7.3706E+04  4.2653E-04
  7.4559E+04  4.3427E-04
  7.5422E+04  4.4212E-04
  7.6296E+04  4.5010E-04
  7.7179E+04  4.5819E-04
  7.8073E+04  4.6641E-04
  7.8977E+04  4.7475E-04
  7.9891E+04  4.8321E-04
  8.0816E+04  4.9180E-04
  8.1752E+04  5.0051E-04
  8.2699E+04  5.0935E-04
  8.3657E+04  5.1831E-04
  8.4625E+04  5.2741E-04
  8.5605E+04  5.3663E-04
  8.6596E+04  5.4599E-04
  8.7599E+04  5.5547E-04
  8.8614E+04  5.6509E-04
  8.9640E+04  5.7484E-04
  9.0678E+04  5.8472E-04
  9.1728E+04  5.9474E-04
  9.2790E+04  6.0490E-04
  9.3864E+04  6.1519E-04
  9.4951E+04  6.2561E-04
  9.6051E+04  6.3618E-04
  9.7163E+04  6.4688E-04
  9.8288E+04  6.5772E-04
  9.9426E+04  6.6870E-04
  1.0058E+05  6.7982E-04
  1.0174E+05  6.9107E-04
  1.0292E+05  7.0247E-04
  1.0411E+05  7.1401E-04
  1.0532E+05  7.2569E-04
  1.0654E+05  7.3751E-04
  1.0777E+05  7.4947E-04
  1.0902E+05  7.6158E-04
  1.1028E+05  7.7382E-04
  1.1156E+05  7.8621E-04
  1.1285E+05  7.9874E-04
  1.1416E+05  8.1141E-04
  1.1548E+05  8.2422E-04
  1.1682E+05  8.3718E-04
  1.1817E+05  8.5027E-04
  1.1954E+05  8.6351E-04
  1.2092E+05  8.7688E-04
  1.2232E+05  8.9040E-04
  1.2374E+05  9.0405E-04
  1.2517E+05  9.1785E-04
  1.2662E+05  9.3178E-04
  1.2809E+05  9.4585E-04
  1.2957E+05  9.6006E-04
  1.3107E+05  9.7440E-04
  1.3259E+05  9.8888E-04
  1.3412E+05  1.0035E-03
  1.3568E+05  1.0182E-03
  1.3725E+05  1.0331E-03
  1.3884E+05  1.0481E-03
  1.4044E+05  1.0633E-03
  1.4207E+05  1.0785E-03
  1.4371E+05  1.0939E-03
  1.4538E+05  1.1094E-03
  1.4706E+05  1.1250E-03
