EkeV          Fluxele
  3.2923E+04  1.4011E-03
  3.3304E+04  1.4300E-03
  3.3690E+04  1.4594E-03
  3.4080E+04  1.4894E-03
  3.4475E+04  1.5200E-03
  3.4874E+04  1.5512E-03
  3.5278E+04  1.5829E-03
  3.5686E+04  1.6153E-03
  3.6099E+04  1.6484E-03
  3.6517E+04  1.6820E-03
  3.6940E+04  1.7163E-03
  3.7368E+04  1.7513E-03
  3.7801E+04  1.7869E-03
  3.8238E+04  1.8232E-03
  3.8681E+04  1.8602E-03
  3.9129E+04  1.8979E-03
  3.9582E+04  1.9363E-03
  4.0041E+04  1.9755E-03
  4.0504E+04  2.0153E-03
  4.0973E+04  2.0559E-03
  4.1448E+04  2.0973E-03
  4.1928E+04  2.1395E-03
  4.2413E+04  2.1824E-03
  4.2904E+04  2.2262E-03
  4.3401E+04  2.2707E-03
  4.3904E+04  2.3161E-03
  4.4412E+04  2.3623E-03
  4.4926E+04  2.4093E-03
  4.5446E+04  2.4572E-03
  4.5973E+04  2.5060E-03
  4.6505E+04  2.5557E-03
  4.7044E+04  2.6063E-03
  4.7588E+04  2.6578E-03
  4.8139E+04  2.7102E-03
  4.8697E+04  2.7636E-03
  4.9261E+04  2.8179E-03
  4.9831E+04  2.8732E-03
  5.0408E+04  2.9295E-03
  5.0992E+04  2.9868E-03
  5.1582E+04  3.0451E-03
  5.2180E+04  3.1044E-03
  5.2784E+04  3.1648E-03
  5.3395E+04  3.2262E-03
  5.4013E+04  3.2887E-03
  5.4639E+04  3.3523E-03
  5.5271E+04  3.4170E-03
  5.5911E+04  3.4828E-03
  5.6559E+04  3.5497E-03
  5.7214E+04  3.6178E-03
  5.7876E+04  3.6871E-03
  5.8546E+04  3.7575E-03
  5.9224E+04  3.8291E-03
  5.9910E+04  3.9019E-03
  6.0604E+04  3.9759E-03
  6.1306E+04  4.0512E-03
  6.2015E+04  4.1277E-03
  6.2734E+04  4.2055E-03
  6.3460E+04  4.2846E-03
  6.4195E+04  4.3650E-03
  6.4938E+04  4.4467E-03
  6.5690E+04  4.5297E-03
  6.6451E+04  4.6140E-03
  6.7220E+04  4.6997E-03
  6.7999E+04  4.7868E-03
  6.8786E+04  4.8753E-03
  6.9582E+04  4.9652E-03
  7.0388E+04  5.0565E-03
  7.1203E+04  5.1492E-03
  7.2028E+04  5.2434E-03
  7.2862E+04  5.3391E-03
  7.3706E+04  5.4362E-03
  7.4559E+04  5.5348E-03
  7.5422E+04  5.6349E-03
  7.6296E+04  5.7365E-03
  7.7179E+04  5.8397E-03
  7.8073E+04  5.9444E-03
  7.8977E+04  6.0507E-03
  7.9891E+04  6.1586E-03
  8.0816E+04  6.2680E-03
  8.1752E+04  6.3790E-03
  8.2699E+04  6.4917E-03
  8.3657E+04  6.6060E-03
  8.4625E+04  6.7219E-03
  8.5605E+04  6.8394E-03
  8.6596E+04  6.9587E-03
  8.7599E+04  7.0796E-03
  8.8614E+04  7.2021E-03
  8.9640E+04  7.3264E-03
  9.0678E+04  7.4524E-03
  9.1728E+04  7.5801E-03
  9.2790E+04  7.7095E-03
  9.3864E+04  7.8406E-03
  9.4951E+04  7.9735E-03
  9.6051E+04  8.1081E-03
  9.7163E+04  8.2445E-03
  9.8288E+04  8.3827E-03
  9.9426E+04  8.5226E-03
  1.0058E+05  8.6643E-03
  1.0174E+05  8.8078E-03
  1.0292E+05  8.9531E-03
  1.0411E+05  9.1001E-03
  1.0532E+05  9.2490E-03
  1.0654E+05  9.3996E-03
  1.0777E+05  9.5521E-03
  1.0902E+05  9.7064E-03
  1.1028E+05  9.8624E-03
  1.1156E+05  1.0020E-02
  1.1285E+05  1.0180E-02
  1.1416E+05  1.0341E-02
  1.1548E+05  1.0505E-02
  1.1682E+05  1.0670E-02
  1.1817E+05  1.0837E-02
  1.1954E+05  1.1005E-02
  1.2092E+05  1.1176E-02
  1.2232E+05  1.1348E-02
  1.2374E+05  1.1522E-02
